,genres
0,'Action'
0,'Adventure'
0,'Award Winning'
0,'Drama'
0,'Fantasy'
0,'Horror'
0,'Supernatural'
1,'Action'
1,'Adventure'
1,'Fantasy'
2,'Action'
2,'Adventure'
2,'Award Winning'
2,'Drama'
2,'Fantasy'
3,'Action'
3,'Adventure'
3,'Horror'
3,'Mystery'
3,'Supernatural'
4,'Drama'
4,'Slice of Life'
5,'Action'
5,'Adventure'
5,'Award Winning'
6,'Action'
6,'Adventure'
6,'Award Winning'
6,'Drama'
7,'Award Winning'
7,'Drama'
8,'Award Winning'
8,'Comedy'
9,'Action'
9,'Adventure'
9,'Award Winning'
10,'Award Winning'
10,'Drama'
10,'Mystery'
11,'Action'
11,'Comedy'
12,'Action'
12,'Adventure'
12,'Fantasy'
13,'Supernatural'
13,'Suspense'
14,'Award Winning'
14,'Sports'
15,'Award Winning'
15,'Drama'
15,'Mystery'
15,'Sci-Fi'
16,'Award Winning'
16,'Sports'
17,'Action'
17,'Adventure'
17,'Fantasy'
18,'Comedy'
19,'Drama'
20,'Action'
20,'Comedy'
21,'Action'
21,'Award Winning'
21,'Drama'
22,'Action'
22,'Award Winning'
22,'Comedy'
22,'Drama'
22,'Ecchi'
23,'Action'
23,'Award Winning'
24,'Comedy'
24,'Drama'
24,'Romance'
24,'Slice of Life'
25,'Award Winning'
25,'Comedy'
25,'Slice of Life'
26,'Action'
26,'Fantasy'
27,'Action'
27,'Fantasy'
27,'Horror'
28,'Action'
28,'Comedy'
28,'Fantasy'
28,'Romance'
29,'Adventure'
29,'Drama'
29,'Fantasy'
29,'Sci-Fi'
30,'Adventure'
30,'Fantasy'
30,'Mystery'
30,'Supernatural'
31,'Action'
31,'Supernatural'
32,'Action'
32,'Comedy'
32,'Fantasy'
32,'Horror'
33,'Award Winning'
33,'Comedy'
33,'Drama'
33,'Romance'
33,'Supernatural'
34,'Romance'
35,'Drama'
35,'Horror'
35,'Mystery'
35,'Romance'
36,'Award Winning'
36,'Drama'
36,'Romance'
36,'Slice of Life'
37,'Drama'
37,'Romance'
37,'Slice of Life'
38,'Action'
38,'Award Winning'
38,'Sci-Fi'
39,'Drama'
39,'Girls Love'
40,'Action'
40,'Drama'
41,'Action'
41,'Drama'
41,'Fantasy'
42,'Comedy'
42,'Drama'
42,'Romance'
43,'Action'
43,'Award Winning'
43,'Comedy'
43,'Supernatural'
44,'Action'
44,'Comedy'
44,'Sci-Fi'
45,'Action'
45,'Drama'
45,'Mystery'
45,'Sci-Fi'
46,'Comedy'
46,'Drama'
46,'Romance'
47,'Drama'
48,'Action'
48,'Adventure'
48,'Drama'
48,'Fantasy'
48,'Mystery'
49,'Comedy'
49,'Fantasy'
49,'Romance'
49,'Supernatural'
50,'Action'
50,'Comedy'
50,'Drama'
51,'Action'
51,'Award Winning'
51,'Mystery'
51,'Sci-Fi'
52,'Award Winning'
52,'Sports'
53,'Drama'
54,'Action'
54,'Adventure'
54,'Comedy'
54,'Sci-Fi'
55,'Action'
55,'Fantasy'
55,'Mystery'
55,'Supernatural'
56,'Comedy'
56,'Drama'
56,'Romance'
57,'Comedy'
57,'Romance'
58,'Action'
58,'Adventure'
58,'Award Winning'
58,'Mystery'
58,'Supernatural'
59,'Award Winning'
59,'Drama'
60,'Fantasy'
61,'Supernatural'
62,'Award Winning'
62,'Drama'
62,'Romance'
63,'Drama'
64,'Action'
64,'Fantasy'
65,'Adventure'
65,'Drama'
66,'Award Winning'
66,'Comedy'
66,'Drama'
66,'Romance'
66,'Slice of Life'
67,'Comedy'
67,'Fantasy'
67,'Romance'
67,'Supernatural'
68,'Action'
68,'Award Winning'
69,'Award Winning'
69,'Fantasy'
70,'Action'
70,'Comedy'
70,'Drama'
70,'Romance'
71,'Sports'
72,'Drama'
72,'Romance'
72,'Sci-Fi'
73,'Action'
73,'Award Winning'
73,'Horror'
73,'Sci-Fi'
74,'Award Winning'
74,'Drama'
74,'Mystery'
74,'Sci-Fi'
75,'Action'
75,'Fantasy'
76,'Action'
76,'Drama'
76,'Horror'
76,'Mystery'
76,'Romance'
76,'Supernatural'
76,'Suspense'
77,'Drama'
77,'Supernatural'
78,'Adventure'
78,'Award Winning'
78,'Slice of Life'
79,'Award Winning'
79,'Sports'
80,'Action'
80,'Adventure'
80,'Fantasy'
80,'Horror'
81,'Drama'
81,'Slice of Life'
82,'Mystery'
82,'Supernatural'
83,'Drama'
83,'Sports'
84,'Comedy'
84,'Romance'
85,'Action'
86,'Action'
86,'Fantasy'
86,'Supernatural'
87,'Drama'
88,'Drama'
88,'Fantasy'
88,'Suspense'
89,'Comedy'
89,'Romance'
90,'Award Winning'
90,'Fantasy'
90,'Mystery'
90,'Supernatural'
91,'Comedy'
91,'Drama'
91,'Romance'
91,'Slice of Life'
92,'Award Winning'
92,'Drama'
92,'Slice of Life'
93,'Comedy'
93,'Drama'
